ssim,psnr,mae,mse,ncc,subject,method
0.8902952075004578,22.32603784157948,0.03644918607894475,0.005853238436813525,0.979643127099442,123_S_10648,Legacy
0.9091872572898865,27.107468069196198,0.020362652851965327,0.0019464945545170536,0.9840795867259925,127_S_6024,Legacy
0.9477676153182983,34.510951094209915,0.008265241977632532,0.00035391982502657105,0.9921303038964335,127_S_6203,Legacy
0.9224610924720764,33.93992366100238,0.009142243981194044,0.00040365248818911864,0.9888427142062239,130_S_6688,Legacy
0.8934926986694336,31.747234367676537,0.011928535448230804,0.0006687696614547803,0.9865614426005139,137_S_6919,Legacy
0.8824852108955383,31.204318695234182,0.013640652334409238,0.0007578236080441458,0.9869009345064578,941_S_6384,Legacy
0.9114617109298706,31.962286295557746,0.011260412590579107,0.0006364603751309074,0.9907210086643241,941_S_6514,Legacy
0.8669194579124451,30.472877887090863,0.014000747409758093,0.000896834303132276,0.9830899551210373,941_S_6575,Legacy
0.9309853315353394,30.240674543885547,0.014450578290422742,0.0009460902037248143,0.9839876597859759,941_S_6854,Legacy
0.004337065853178501,3.9894161224365234,0.5933979153633118,0.3521210859575241,,003_S_6260,FiCD
0.006670388858765364,4.524493217468262,0.5255886316299438,0.2762434096986368,,003_S_6644,FiCD
0.0052407593466341496,4.163035869598389,0.5693042874336243,0.3241073716903067,,003_S_6833,FiCD
0.0064206235110759735,4.3681182861328125,0.5570459365844727,0.31030017546527233,,006_S_6243,FiCD
0.006196189671754837,4.349819183349609,0.554591715335846,0.307571970719156,,006_S_6441,FiCD
0.004243684466928244,3.9628334045410156,0.5953813791275024,0.3544789866117668,,006_S_6770,FiCD
0.007221341598778963,4.578035831451416,0.525603711605072,0.2762592616530277,,007_S_4488,FiCD
0.006807734724134207,4.4608473777771,0.5469154715538025,0.29911653302491814,,011_S_6465,FiCD
0.006176413502544165,4.344220161437988,0.5546165704727173,0.3075995402429186,,012_S_6760,FiCD
0.00584107032045722,4.29287052154541,0.5548555850982666,0.30786472031473977,,014_S_10157,FiCD
0.005706025753170252,4.251819133758545,0.5640437602996826,0.3181453635330058,,014_S_6145,FiCD
0.006630460731685162,4.4645538330078125,0.5445511937141418,0.29653600257549684,,019_S_6573,FiCD
0.005687894765287638,4.236692428588867,0.5695514678955078,0.32438887458192767,,020_S_6185,FiCD
0.005017839837819338,4.125791072845459,0.5755977630615234,0.3313127848414297,,022_S_10306,FiCD
0.006094226147979498,4.331882476806641,0.552975058555603,0.3057814153845726,,031_S_4721,FiCD
0.005857494659721851,4.260439872741699,0.568069577217102,0.32270304455961707,,033_S_10099,FiCD
0.00562695087864995,4.269137382507324,0.5562465786933899,0.3094102563081016,,033_S_10249,FiCD
0.006479845382273197,4.428304672241211,0.5443310737609863,0.29629631786178834,,033_S_10793,FiCD
0.006411006208509207,4.452277660369873,0.5356258749961853,0.2868950779654291,,033_S_6705,FiCD
0.006705116014927626,4.438868522644043,0.5502392649650574,0.3027632487092866,,033_S_6889,FiCD
0.006803087890148163,4.492953777313232,0.5342413187026978,0.2854137866091975,,035_S_10241,FiCD
0.005657640751451254,4.238266944885254,0.5649962425231934,0.31922075406532713,,035_S_10274,FiCD
0.005593839567154646,4.244270324707031,0.5638829469680786,0.31796397788140496,,035_S_6488,FiCD
0.0046229432336986065,4.0556230545043945,0.5840809941291809,0.34115060770293226,,036_S_10133,FiCD
0.006461072247475386,4.408249378204346,0.5425958037376404,0.29441020623369596,,036_S_6466,FiCD
0.006045666988939047,4.328864097595215,0.55362468957901,0.3065002969114552,,036_S_6897,FiCD
0.005966370925307274,4.323479175567627,0.5530412793159485,0.30585465662742095,,057_S_6869,FiCD
0.005487320479005575,4.18654727935791,0.5733411908149719,0.32872012108513005,,067_S_6957,FiCD
0.004633278585970402,4.041252136230469,0.5877622365951538,0.34546444676733756,,070_S_4856,FiCD
0.00485010351985693,4.08834981918335,0.5798003077507019,0.33616839686780864,,094_S_6250,FiCD
0.004278788808733225,3.9737329483032227,0.5939393639564514,0.35276396805699406,,094_S_6269,FiCD
0.006847003474831581,4.55375862121582,0.5241473317146301,0.2747304253435665,,114_S_6113,FiCD
0.005234187003225088,4.148846626281738,0.5756548643112183,0.3313785228051671,,114_S_6429,FiCD
0.005136800464242697,4.128031253814697,0.5787466168403625,0.3349476465041654,,116_S_6750,FiCD
0.005954055581241846,4.3614726066589355,0.5397990942001343,0.29138306209928544,,123_S_10648,FiCD
0.007123478688299656,4.532609462738037,0.5319398045539856,0.2829599556689324,,127_S_6024,FiCD
0.005650062579661608,4.234771251678467,0.5641726851463318,0.318290818665222,,127_S_6203,FiCD
0.0056739021092653275,4.23846435546875,0.5657421350479126,0.3200641633685706,,130_S_6688,FiCD
0.006689930334687233,4.45596170425415,0.5431627631187439,0.2950257872387887,,137_S_6919,FiCD
0.006653001066297293,4.411810398101807,0.5506134033203125,0.3031751199159771,,941_S_6384,FiCD
0.005901986267417669,4.300403118133545,0.5547244548797607,0.3077192208416477,,941_S_6514,FiCD
0.007005504798144102,4.529547691345215,0.5359194874763489,0.28720969705691246,,941_S_6575,FiCD
0.005836306139826775,4.272979736328125,0.5605328679084778,0.314197096005703,,941_S_6854,FiCD
